<<<<<<< HEAD
﻿faixa-etaria;genero;escolaridade;graduacao;atividade;conhece-chatgpt;utilizou-chatgpt;porque-utilizou-chatgpt;paraque-utilizou-chatgpt;grau-entendimento-perguntas;"percentual-resposta-errada
"; percentual-utilizadas;"utilidade
";"satisfatoria-experiencia
";"experiencia-com-chatgpt
";melhorias;utilizou-outros-ia  ;quais-ia;facilidade-uso-outras-ia;vantagem-desvantagem-outras-ia;beneficios-ia-profissao;outra-ia-facilite-trabalho;"o-que-deveria-propiciar
";quanto-ia-substituir;quando-ia-capacidade-substituir;quais-substituidos-ia;comentarios;;;;;;
50-59;Masculino;Pós Graduação (MBA);Comunicação Social- Public e Propag;Gerente de vendas ;Sim;Sim;Assistência profissional;Revisão de textos, Geração de ideias, Ajuda com resolução de problemas;5;2;4;5;5;5;Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Google Assistant, Alexa (Amazon), Midjourney, Synthesia, DALL-E, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;Não vejo muitas vantagens X gpt;Aumento da produtividade, Otimização de tempo, Automatização de tarefas, Impacto no processo de aprendizado. [estranho não terem colocado essa opção];Em vendas ainda há pouca influência da IA (nos processos comerciais);Ex. IA sugerir x quantidade de pedido se um produto após analisar dados. Sorvete, poderia buscar info se cima vai esquentar e sugerir o pedido.;3;Em um futuro próximo;Em vendas a função do vendedor será feita usando a IA. Quem for analfabeto digital estará fora.;Acredito que funções não vão desaparecer 100% mas vão permanecer pessoas que consigam usar a IA em seu trabalho.;;;;;;
18 -24;Masculino;Superior Completo;Engenharia ;Estudante de bacharelado de engenharia química;Sim;Sim;Diversão/Curiosidade, Assistência pessoal;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Revisão de textos, Curiosidades e fatos triviais, Ajuda com resolução de problemas;3;4;2;2;4;3;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Interação com outros aplicativos (word, excel);Sim;Google Assistant, Alexa (Amazon), Cortana (Microsoft), Bixby (Samsung), Midjourney, DALL-E, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Piores;Vantagem ser rápida, desvantagem tornar o ser humano preguiçoso ;Aumento da produtividade, Otimização de tempo, Análise avançada de dados;Não;Dados e cálculos mais exatos e precisos, algo que o chat gpt erra muito.;4;Em um futuro próximo;;;;;;;;
50-59;Feminino;Pós Graduação (MBA);Medicina ;Cirurgiã Plástica ;Sim;Sim;Diversão/Curiosidade, Assistência pessoal;Esclarecimento de dúvidas gerais, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais;4;2;4;5;4;4;Identificação de informações incorretas ou falsas., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta., Integração de recursos de tradução em tempo real para conversas multilíngues.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Bixby (Samsung), Hound, Google Translate, Shazam, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não ;Conteúdo científico com referências ;3;Em um futuro próximo;Diagnósticos diferenciais baseados em sinais e sintomas;;;;;;;
<<<<<<< HEAD
25 -34;Masculino;Superior Completo;Engenharia de Produção;Programador;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução, Ajuda com resolução de problemas;4;2;3;3;5;5;Não sei dizer;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, Synthesia, DALL-E, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;Cada uma tem seu valor, depende de quem está usando, normalmente funciona dessa forma.;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Diversas;Existe;5;Em um futuro próximo;Programadores, resolução de problemas de redução de custos, etc.;As perguntas não foram elaboradas para tenha uma resposta adequada, senti em algumas que não foi suficiente então respondi a que mais se aproximava, hoje em dia ja tem algumas profissões sendo substituidas, em futuro proximo tera outras, e em um distante outras, uma das coisas que acho interessantes da IA, são como elas fazem analise em um banco de dados procurando padrões, podemos usar de exemplo o LHC que gera quantidades massivas de dados.;;;;;;
=======
25 -34;Masculino;Superior Completo;Eng Produção;Programador;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução, Ajuda com resolução de problemas;4;2;3;3;5;5;Não sei dizer;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Midjourney, Synthesia, DALL-E, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;Cada uma tem seu valor, depende de quem está usando, normalmente funciona dessa forma.;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Diversas;Existe;5;Em um futuro próximo;Programadores, resolução de problemas de redução de custos, etc.;As perguntas não foram elaboradas para tenha uma resposta adequada, senti em algumas que não foi suficiente então respondi a que mais se aproximava, hoje em dia ja tem algumas profissões sendo substituidas, em futuro proximo tera outras, e em um distante outras, uma das coisas que acho interessantes da IA, são como elas fazem analise em um banco de dados procurando padrões, podemos usar de exemplo o LHC que gera quantidades massivas de dados.;;;;;;
>>>>>>> 55a8913c004d3bf7715bab79d038d735de0e8c3c
25 -34;Masculino;Pós Graduação (MBA);Administração;Jornalista;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Revisão de textos, Geração de ideias, Criação de conteúdo;4;3;4;4;5;5;Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Incorporação de conhecimento especializado em áreas específicas., Habilidade de identificar sarcasmo e ironia., Detecção e correção de erros gramaticais e ortográficos., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;GerAI, Perplexity, Bing e Google Bard.;Existe.;3;Não sei dizer;;;;;;;;
50-59;Masculino;Doutorado;Gestão de Empresas e Relações Internacionais ;Defesa;Sim;Sim;Diversão/Curiosidade;Esclarecimento de dúvidas gerais, Suporte técnico, Curiosidades e fatos triviais, Orientação de viagens;3;4;2;2;2;2;Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Bardt;Melhores;Respostas mais confiáveis ;Automatização de tarefas;Não ;Confidencialidade e confiabilidade ;3;Não sei dizer;Não sei ;A IA tende a aumentar o abismo entre o mundo desenvolvido e o resto;;;;;;
60+;Masculino;Superior Completo;BA Matemática;Pesquisador de IA.;Sim;Sim;Interesse Profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Criação de conteúdo, Tradução, Ajuda com resolução de problemas;4;2;3;5;5;5;Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Fornecimento de referências e citações (reais).;Sim;Siri (Apple), Alexa (Amazon), Watson Assistant (IBM), Midjourney, DALL-E, Google Translate, Outro ChatBot (seja em website e/ou WhatsApp);Iguais;Ferramentas mais específicas e integradas com ChatGPT dão maior produtividade.;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Análise avançada de dados;Tem surgido várias outras mais específicas para a área científica e de pesquisa como a Perplexity, SciSpace, Elicit.;Novas aplicações trarão maior integração e mais facilidade por nicho e áreas do mercado.;4;Em um futuro próximo;Todas as áreas de produção de conteúdo terão grande impacto, mas não dá ainda para dizer quem será substituido. Novas profissões estão sendo criadas.;A IA Generativa terá impacto relevante na sociedade, mas é preciso ir com calma. Erros podem ocorrer e desestabilizar empresas e profissionais. Cuidados éticos, segurança, entre outros devem ser tomados. Vamos aguardar e ver se as regulamentações chegam e melhorem o quadro atual.;;;;;;
35-39;Feminino;Superior Completo;Tecnologia em Redes de computadores ;Costureira criativa em artigos de casa.;Sim;Sim;Assistência profissional;Esclarecimento de dúvidas gerais, Geração de ideias, Criação de conteúdo;5;2;3;4;5;4;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Geração de respostas mais criativas e inovadoras., Incorporação de recursos de voz para comunicação oral.;Não;;;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;NÃO;Agilidade no dia a dia;1;Não sei dizer;Não acredito que possa substituir na costura criativa.;Sim já tem maquinas que trabalham com Aí e fazem muitos tipos de costura sozinha mais de toda forma tem que ter um ser humano para verificar se o trabalho está correto.;;;;;;
35-39;Feminino;Mestrado;Administração ;Marketing ;Sim;Sim;Assistência pessoal, Assistência profissional;"Esclarecimento de dúvidas gerais, Criação de conteúdo, Orientação de viagens, Diferenciar conceitos tecnicos; comparar empresas";4;3;4;4;4;5;Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Fornecimento de referências e citações (reais).;Sim;Não utilizei nenhuma das anteriores;Piores;Usabilidade ruim;Otimização de tempo;Não ;Não sei ;4;Não sei dizer;;Tenho apenas 3 semanas de uso diário de chatgpt. Não consigo avaliar o impacto em tão pouco tempo de uso. Mas ele me ajuda a encontrar frameworks e abordagens para o momento que  estou hoje: planejamento de programa de marketing. Para escrever texto, não é  possível simplesmente  copiar e colar mas é  melhor escrever com base em algo do que do zero. Isso me dá a impressão que exige maior senioridade do profissional para conseguir avaliar a resposta.  Ou seja um texto que pediria pada um analista Junior escrever para eu revisar posso pedir para o chat gpt;;;;;;
40-49;Feminino;Pós Graduação (MBA);RH;RH;Sim;Não;;;;;;;;;;;Alexa (Amazon);Nunca utilizei outras ferramentas.;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;não;não;1;Em um futuro distante;;;;;;;;
40-49;Masculino;Mestrado;Pedagogia;Professor;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Revisão de textos, Geração de ideias, Criação de conteúdo;5;3;3;4;4;5;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes.;Sim;Google Assistant, Alexa (Amazon), Midjourney, DALL-E;Iguais;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas;NÃO;O que o chatGPT não propicia.;4;Em um futuro próximo;;;;;;;;
50-59;Masculino;Doutorado;Engenharia Mecânica;Docente;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Suporte técnico, Geração de ideias, Curiosidades e fatos triviais;5;4;3;4;4;4;Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel), Interação em caso de dúvida em relação à pergunta.;Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Análise avançada de dados;Não;Referencias;3;Em um futuro distante;Bibliotecários;;;;;;;
25 -34;Feminino;Pós Graduação (MBA);Jornalismo;Marketing;Sim;Sim;Diversão/Curiosidade, Assistência profissional;Esclarecimento de dúvidas gerais, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais;5;1;3;4;4;5;Trazer informações atualizadas e recentes., Integração de recursos multimídia/foto nas respostas., Fornecimento de referências e citações (reais).;Não;;;;Aumento da produtividade, Redução de erros humanos, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Habilidade de ler conteúdo escrito em imagens. ;3;Em um futuro distante;Análise de Dados, Produção de Conteúdo Escrito, pois são áreas que a IA já domina. ;;;;;;;
18 -24;Masculino;Superior  Incompleto;Cursando Eng Controle e Automação ;Estudante;Sim;Sim;Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Ajuda com tarefas escolares, Revisão de textos, Geração de ideias, Criação de conteúdo, Tradução, Orientação de viagens, Ajuda com resolução de problemas;4;4;3;5;5;4;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia., Fornecimento de suporte emocional e empatia durante as conversas., Integração de recursos multimídia/foto nas respostas., Detecção e correção de erros gramaticais e ortográficos., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Midjourney, DALL-E, Shazam;Piores;;Aumento da produtividade, Melhoria da tomada de decisão, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;.;.;3;Em um futuro próximo;;;;;;;;
40-49;Masculino;Pós Graduação (MBA);Administração ;Compliance ;Sim;Sim;Diversão/Curiosidade;Geração de ideias, Curiosidades e fatos triviais;4;2;2;4;3;4;Aumento da exatidão nas respostas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Google Translate, Shazam;Iguais;;Aumento da produtividade;NÃO;Otimização de tempo e recursos;3;Não sei dizer;Operativos;;;;;;;
<<<<<<< HEAD
25 -34;Masculino;Doutorado;Ciência da Computação;Docente ;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução, Ajuda com resolução de problemas;4;3;3;4;4;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Watson Assistant (IBM), Midjourney, Speech Text, DALL-E, Google Translate, Ada (chatbot);Iguais;;Aumento da produtividade, Automatização de tarefas;GitHub Copilot;Verificação de erros semânticos em códigos de programação;3;Não sei dizer;Impossível determinar, uma vez que não temos uma teoria estatística do conhecimento consolidada, nem uma teoria forte sobre a captura de padrões intermediários em topologias profundas de redes neurais, de forma que não é possível prever de forma segura o avanço da IA;;;;;;;
25 -34;Masculino;Superior Incompleto;Engenharia da Computação (Finalizando);estudante de graduação e chefe de departamento de licitações;Sim;Sim;Diversão/Curiosidade;Esclarecimento de dúvidas gerais, Revisão de textos, Geração de ideias, Ajuda com resolução de problemas;3;2;4;4;5;5;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Não;;;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Geração de documentos sequenciais, com preenchimento de informações a serem ensinadas ou carregas via base de dados;3;Em um futuro próximo;"Uma pessoa vai conseguir utilizando IAs fazer o serviço de varias pessoas, assim não substituindo diretamente, mas fazendo com que seja necessário menos pessoal para mesma capacidade operacional.
=======
25 -34;Masculino;Doutorado;Ciência da computação;Docente ;Sim;Sim;Diversão/Curiosidade, Assistência pessoal, Assistência profissional;Esclarecimento de dúvidas gerais, Suporte técnico, Revisão de textos, Geração de ideias, Criação de conteúdo, Curiosidades e fatos triviais, Tradução, Ajuda com resolução de problemas;4;3;3;4;4;4;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Habilidade de identificar sarcasmo e ironia.;Sim;Siri (Apple), Google Assistant, Alexa (Amazon), Cortana (Microsoft), Watson Assistant (IBM), Midjourney, Speech Text, DALL-E, Google Translate, Ada (chatbot);Iguais;;Aumento da produtividade, Automatização de tarefas;GitHub Copilot;Verificação de erros semânticos em códigos de programação;3;Não sei dizer;Impossível determinar, uma vez que não temos uma teoria estatística do conhecimento consolidada, nem uma teoria forte sobre a captura de padrões intermediários em topologias profundas de redes neurais, de forma que não é possível prever de forma segura o avanço da IA;;;;;;;
25 -34;Masculino;Superior  Incompleto;Engenharia da Computação (Finalizando);estudante de graduação e chefe de departamento de licitações;Sim;Sim;Diversão/Curiosidade;Esclarecimento de dúvidas gerais, Revisão de textos, Geração de ideias, Ajuda com resolução de problemas;3;2;4;4;5;5;Melhoria na compreensão de textos, Aumento da exatidão nas respostas., Explicações mais detalhadas e justificativas., Trazer informações atualizadas e recentes., Identificação de informações incorretas ou falsas., Capacidade de entender palavras correlatas profissionalmente (exemplo: planilha x tabela), Incorporação de conhecimento especializado em áreas específicas., Integração de recursos multimídia/foto nas respostas., Geração de respostas mais criativas e inovadoras., Fornecimento de referências e citações (reais)., Interação com outros aplicativos (word, excel);Não;;;;Aumento da produtividade, Otimização de tempo, Automatização de tarefas, Análise avançada de dados;Não;Geração de documentos sequenciais, com preenchimento de informações a serem ensinadas ou carregas via base de dados;3;Em um futuro próximo;"Uma pessoa vai conseguir utilizando IAs fazer o serviço de varias pessoas, assim não substituindo diretamente, mas fazendo com que seja necessário menos pessoal para mesma capacidade operacional.
>>>>>>> 55a8913c004d3bf7715bab79d038d735de0e8c3c
